item_id,description,profit_margin_2023,profit_percent_total
1108,eukanuba puppy large breed 15 kg,314136.0,0.057753279590940475
412,nexgard spectra 7,147960.0,0.02720215208787135
319,simparica 10 mg  x 3 tab. 2,146510.0,0.026935572468194318
1387,bravery chicken puppy large/medium breeds 12 kg,116672.0,0.021449915439281736
1234,royal canin renal adulto felino 1,112750.0,0.02072886353005876
1029,brit care senior l&r 12 kg,112568.0,0.020695403191588954
250,body cobre talla 5 ( 5,80000.0,0.014707841085629276
1203,nexgard spectra 1 tab 7,69950.0,0.012860168549247097
1404,royal can. hepatic canine 2 kg.,53376.0,0.009813071572331853
27,sanitario gato miso,50682.0,0.009317785023773287
336,adaptil collar small hasta 10 kg  ,48500.0,0.008916628658162748
902,catapet cama chiporro gde. nº3,44238.0,0.008133068424325849
877,coastal k9 explorer arnes acolchado naranja m,43465.0,0.007990953909835957
1362,nexgard x 3 tab. 25- 50k,42435.0,0.007801590455858479
1368,habitrail ovo mini,42186.0,0.007755812300479457
1525,bravecto gato 1.2 a 2.8 kg,40512.0,0.007448050725762666
345,nexgard x 3 tab. 10 a  25 kg,40256.0,0.0074009856342886525
1263,simparica 20 mg x 3 tab. 5,40060.0,0.00736495142362886
1732,mother and babycat 1.5 kg,38262.0,0.007034392695229342
1668,feliway friends repuesto mas difusor 48ml,37674.0,0.006926290063249967
1137,smart fun chaqueta outdoor c/arnes xl,37436.0,0.006882534236020219
1715,nexgard x 3 tab. 4 a 10k ,37430.0,0.006881431147938797
1783,feliway spray 60ml,35730.0,0.006568889524869176
583,pawise mat de enfriamiento l 90x50 cm,35396.0,0.006507484288336673
1497,zeedog tuff bowl black,35195.0,0.00647053083760903
1680,karsivan 50 mg,34701.0,0.0063797099189052695
231,zd army green soft-walk harness small,31850.0,0.005855559232216156
1483,zeus trailla dobl asa  s  fucsia 1,31450.0,0.005782020026788009
154,revolution perro 2-5 kg,27414.0,0.005040009444018012
1100,zd smash adjustable air mesh harness large,27336.0,0.005025669298959524
958,ehlifloxacino (enrofloxacino 50 mg.),27288.0,0.0050168445943081464
837,previcox 57 mg x  10 comp,27264.0,0.005012432241982457
1769,koralen 20 mg (oral),27180.0,0.004996989008842547
455,furminator long hair deshedding tolls cat,26970.0,0.0049583809259927695
1669,afp travel dog arnes seguridad l,26920.0,0.0049491885253142515
215,recarga enchufe feliway,26228.0,0.0048219656999235585
1083,coastal lazer brite trailla lime skulls l 1.8m,25377.0,0.004665511040375177
1455,advocate 1 x o.8,24688.0,0.0045388397590251945
306,royal can early cardiac canine 2.0 kg.,24100.0,0.004430737127045819
1343,blast leash small,23975.0,0.004407756125349524
480,zd volt adj. air mesh harness medium,23565.0,0.004332378439785674
232,zd army green soft-walk harness large,22952.0,0.004219679607467039
