item_id,description,profit_margin_2023,profit_percent_total
1852,pro plan alimento seco para cachorro razas grandes 15 kg,4054548.0,0.7454205957257001
1861,small bird diet 1 kg,1711798.0,0.3147106619337253
1860,small bird diet 1 kg,1313400.0,0.24146598102331865
1867,living world alimento seco cuy,1093309.0,0.20100268786860323
835,broadline pipeta gato 2,559650.0,0.10289054079465532
240,zeus fuente mini 1,493870.0,0.09079701846199664
377,simparica 120 mg  x 3 tab. 40,428800.0,0.07883402821897291
414,habitrail classic kit,382050.0,0.07023913358455831
1694,pack hamster animal care n°2,353022.0,0.06490239344663773
22,simparica 80 mg  x 3 tab. 20,329400.0,0.060559535670078546
585,pro plan puppy medium breed 7,328300.0,0.060357302855151146
189,gel otico plus x 11.5 grs.,310184.0,0.05702671224131039
320,pack michi,280060.0,0.05148847468051669
514,simparica 40 mg  x 3 tab. 10,245800.0,0.045189841735595954
270,advocate 1 x 0.4 ml,245153.0,0.045070892070815924
1833,coche pet,244107.0,0.04487858704862132
82,naxpet suspencion 0,241200.0,0.04434414087317227
721,pack conejo animal care,241010.0,0.0443092097505939
1231,brit care cat grain-free kitten healthy g&d 7 kg,238920.0,0.04392496740223183
424,sanitario gato con puerta y filtro/netta,221496.0,0.04072159961378178
74,bravecto 250 mg perro 4,220290.0,0.040499878909415914
133,habitat para hamster kleo vip,209580.0,0.0385308666840773
623,proplan cat kitten opt 7.5kg,192450.0,0.03538155021161693
1010,furminator short hair deshedding tools for dog,188900.0,0.03472888976344213
1863,bebedero/comedero para ave,174408.0,0.03206456435078038
1531,pack hamster  animal care  n°1,160398.0,0.02948885368065956
736,bravecto 1.300 mg perro 40 a 56 kg,159120.0,0.029253895919316632
417,cama chiporro xxl catapet,154080.0,0.028327301930921988
1116,simparica 80 mg  x 1 tab. 20,152500.0,0.02803682206948081
268,bravecto 112,148050.0,0.02721869840909268
278,poof! blue cloud chinchilla dust,143468.0,0.026376306810913262
758,brit care gf junior large breed salmon  12 kg,141688.0,0.02604905734675801
249,body gato 0 rosado,135550.0,0.024920598239463104
68,royal can. renal rf feline 2 kg.,132375.0,0.024336880796377195
1285,royal canin  kitten 36,123420.0,0.022690521834854566
323,apoquel 3,123400.0,0.02268684487458316
326,ultrafil perros y gatos 15 ml,119552.0,0.02197939771836439
595,monge maxi p&j chicken 1x12 kg,119115.0,0.02189905613643414
1866,alimento loros granulado 1kg,118079.0,0.02170858959437524
25,catit plat- tumbler-be,116948.0,0.02150065749102716
1099,cat love rasguðador  rampa ,116907.0,0.021493119722470772
1774,eukanuba puppy small 7.5 kg,112815.0,0.020740813650940833
1090,power gato de 4-8 kg,109020.0,0.0200431104394413
580,body gato 00 verde,107780.0,0.019815138902614042
208,milpro gato x 2 comp + 2 kg,107663.0,0.01979362868502631
968,body gato 0 verde,101024.0,0.01857306172293265
901,yorkshire terrier adulto  2.5kilo,100232.0,0.01842745409618492
6,capa arnè talla5 cata pets,99978.0,0.018380756700738046
70,shampoo flt,96000.0,0.01764940930275513
799,jaula aves med. diseños y colores,95494.0,0.017556382207888528
652,nexgard spectra x 1 tabl. mast.15,95400.0,0.01753910049461291
425,royal canin feline urinary care 1.5 kg,89370.0,0.016430496972783606
804,corral pequeños animales a.c,89064.0,0.016374239480631072
692,cytopoint 40 mg iny 30-40 k,87570.0,0.016099570548356947
488,advantage gatos  4-8,86614.0,0.015923811847383677
59,afp classic justin castor,85500.0,0.01571900516026629
784,nutribound gato 150 ml,83625.0,0.015374290134821854
77,power 1 p.  gato,81260.0,0.014939489582727937
1713,bravecto 1.000 mg perro 20 a 40 kg,80715.0,0.014839292415332089
334,capa arnè talla 3 cata pets,75378.0,0.013858095566907045
147,coastal sublime collar pink xs,74844.0,0.01375992072766047
842,body cobre talla 3 ( 3- 4,72500.0,0.013328980983851532
1124,nexgard 28,71940.0,0.013226026096252126
51,duo bowl black,71262.0,0.013101377143051419
193,catit rasguðador  moderno jungla,71200.0,0.013089978566210057
1730,nexgard 11,67380.0,0.012387679154371257
373,parka t/5 cata pets,66766.0,0.012274796474039052
274,bravery light iberian pork adult l/m breeds 4 kg,65796.0,0.012096463900875798
1869,fish sticks,64740.0,0.011902320398545491
265,coastal k9 explorer trailla naranja 1,62980.0,0.011578747894661647
1577,veraflox   60 mg  x  7,62412.0,0.01147432222295368
475,neptra solucion otica,61370.0,0.01128275259281336
1601,simparica 120 mg  x 1 tab. 40,58740.0,0.010799232317123295
1176,mazuri tubo huron,58215.0,0.010702712109998853
1112,body cobre talla 4 ( 4,58000.0,0.010663184787081226
1733,revolution perro 10-20 kg,57288.0,0.010532285001419124
1071,bravecto gatos 6.25 a 12.5 kg,54775.0,0.010070274943316795
104,poleron t/3 cata pets,54318.0,0.009986256401115138
152,cytopoint 20 mg iny 10-20 k,54240.0,0.009971916256056649
281,pure comfort blanco 8.2 lt,52646.0,0.009678862522425486
1223,drontal cat 2 comprimidos ,52600.0,0.00967040551380125
277,profender cats spot-on pip. 2.5 a 5 kg.,52564.0,0.009663786985312716
160,hidrocortisona spray 76ml,51588.0,0.009484351324068038
149,le salon esse. corta uða alicate s/cat,51030.0,0.009381764132495774
493,capa polar chiporro t/4 cata pets,50932.0,0.00936374702716588
1103,bravecto 500 mg perro 10 a 20 kg,49395.0,0.009081172630308226
125,coastal sublime collar teal stripe xs,49065.0,0.009020502785830005
1492,jg air wand con juguete,49008.0,0.009010023449056494
961,nexgard x 3 tab.  2 a 4 k  ,48744.0,0.008961487573473917
921,comedero interactivo garra marrón y azúl,48195.0,0.008860555014023786
1303,revolution gato 2.5-7.5 kg,47460.0,0.008725426724049568
606,feliway kit enchufe,47040.0,0.008648210558350014
368,jaula refugio hamster s,45276.0,0.008323902662411889
1702,afp chill out mat de enfriamiento large,44736.0,0.008224624735083891
95,pawise rasguñador,44550.0,0.008190429004559803
663,baño sanitario grande con cubierta gris,43743.0,0.008042063657608517
179,coastal maslow plato cobre martillado 1182 ml,43524.0,0.008001800942636608
269,apoquel 16 mg x 20 comprimidos,43167.0,0.007936167201791987
52,collar isabelino 40 cm nº(7),41720.0,0.007670139126155668
7,casa igloo large,41454.0,0.00762123555454595
216,poleron t/2 cata pets,41286.0,0.0075903490882661285
863,catlove raton mecanico azul,40608.0,0.007465700135065421
301,afp mighty rex toro,40515.0,0.007448602269803376
251,milpro gatito x 2 comp 0.5 - 2 kg,39232.0,0.007212725268392597
1281,simparica 5 mg  x 3 tab. 1,39160.0,0.007199488211415531
972,furminator long hair deshedding tools for cat,38700.0,0.007114918125173162
1102,zd neopro blue cat collar,38532.0,0.00708403165889334
1686,scalibor (collar antiparasitario),38328.0,0.007046526664124986
715,body cobre talla 6 ( 7 - 9 kg ),38192.0,0.007021523334279416
290,adaptil collar largue hasta 50kg  ,37920.0,0.006971516674588277
287,lw carpa animales mediana,37492.0,0.00689282972478016
230,i love you (my family),37197.0,0.006838594560776902
1381,frontline plus pipeta perro 40-60 kg.,36936.0,0.006790610229235037
497,ampolleta repti glo 5.0 tropical13 w,36740.0,0.006754576018575245
618,feliway friends repuesto,36405.0,0.006692986934029172
137,le salon essentials cepillo combinado sm,36320.0,0.006677359852875692
1459,pileran gotas,36270.0,0.006668167452197173
276,le salon essentials rasqueta larga,36084.0,0.006633971721673085
1524,afp lamb cuddle tail wand cat,35982.0,0.006615219224288907
710,collar isabelino 10 cm nº(1),35774.0,0.0065769788374662715
143,lw bebedero vidrio  eco +  - 177 ml,35322.0,0.006493879535332466
1289,jaula refugio peq. animales grande,35292.0,0.006488364094925355
363,daily stuff transportadora route 2,35040.0,0.006442034395505623
87,mamistop 100 gr. (gato),34371.0,0.0063190400744270485
1378,contralac 20 x 16 comp.,33804.0,0.0062147982507326505
134,botella 1000 ml peq animales,33036.0,0.00607360297631061
313,previcox 227mgx10c0mp,32679.0,0.006007969235465989
841,catit 2.0 fuente bebedera flor led 3 lt,32648.0,0.006002269947045308
1335,coastal k9 explorer arnes acolchado zafiro s,32332.0,0.005944173974757072
764,zd army green cat collar,32062.0,0.005894535011093073
671,bliss adjustable air mesh harness large,32040.0,0.0058904903547945245
357,dreamwell cama donut gris-blanca,31336.0,0.005761061353240987
117,proplan kitten 3 kg,31255.0,0.005746169664141787
123,coastal glow in the dark collar fish,31236.0,0.005742676551883951
1389,seresto collar p/p hasta 8 kilos,30924.0,0.005685315971649996
1178,revolution perro 20-40 kg,30720.0,0.005647810976881642
1084,adaptil spray 60 ml,30675.0,0.005639537816270975
1257,laguna cat collar,30521.820000000007,0.005611375977552268
1656,zd bordeau adjustable air mesh harness medium,30390.0,0.005587141132403421
423,fiprokill spray x 250 ml ,30105.0,0.005534744448535868
531,apache cat collar,29731.240000000005,0.0054660294149838085
211,collar isabelino 12.5 cm nº(2),29685.0,0.005457528282836313
801,ofloxacino 0.3 x 10 ml.,29160.0,0.005361008075711871
512,bow tie black (my family),28830.0,0.005300338231233651
1697,drontal plus 35kg,28506.0,0.005240771474836852
190,exo terra filtro int rept clear 150  ,28380.0,0.005217606625126985
406,coastal lazer brite collar lime skulls l,28260.0,0.005195544863498542
1174,shampoo petever,28126.0,0.005170909229680112
1592,le salon essentials peine combinado smal,27980.0,0.0051440674196988395
1662,sand cat collar,27948.0,0.005138184283264588
929,parka t/7 cata pets,27900.0,0.005129359578613209
1171,pawise peluche unicornio con catnip,27896.0,0.005128624186558929
331,pro plan kitten 1kg ar,27808.0,0.005112445561364736
201,zeedog gotham cat collar,27720.0,0.005096266936170544
85,ehlifloxacino 150 ml x 10,27605.0,0.005075124414609952
571,allermyul,27105.0,0.004983200407824769
776,royal can. fhn growth kitten 36 2kg.,26957.0,0.004955990901816355
711,zd army green h-harness large,26696.0,0.0049080065702744894
891,parker cat collar,26626.979999999996,0.004895317380377862
656,synulox 250 mg,26424.0,0.00485799991058335
343,artriofin 88 mg. x 10 comp.,26364.0,0.004846969029769128
1683,oftal 50 ml.,26348.0,0.004844027461552002
1566,kertesin 20 mg,26276.0,0.004830790404574936
43,zeedog neopro bubblegum cat collar,26040.0,0.00478740227337233
762,cuna india chica catapet,26007.0,0.004781335288924507
196,bayticol collar 35cm,25452.0,0.004679299641392955
30,casa igloo medium,25200.0,0.0046329699419732214
148,cytopoint 10 mg iny 3-10 k,24969.0,0.004590501050838467
621,seresto collar p/g mas de 8 kilos,24448.0,0.004494716235768307
210,zd bordeau cat collar,24336.0,0.004474125258248426
1040,sucravet,24170.0,0.0044436064879957455
752,collar gato brillantes a.doct.,24154.0,0.004440664919778619
806,afp chill out ice bandana,23980.0,0.004408675365417375
1357,endogard 30 15/30kilos x 2 tabletas,23946.0,0.004402424532955983
1415,zd neon coral adjustable air mesh harness large,23553.0,0.0043301722636228295
644,harvest stacks timothy/chamomile 1 kg,23436.0,0.004308662046035096
1023,daily stuff cama nido estilo garra,23409.0,0.004303698149668697
1670,doximicin 100 mg. x 10 comp.,23208.0,0.004266744698941053
33,frontline plus pipeta perro 10-20 kg.,23198.0,0.0042649062188053494
1211,wicked flyharness size 4,23126.600000000006,0.004251779470636426
307,zeedog fatboy ruff leash small,22968.0,0.004222621175684165
1561,zeedog atlanta collar cat,22864.0,0.004203500982272847
1768,cerenia comp. 24 mg.,22768.0,0.004185851572970092
1701,meloxivet 60 ml,22765.0,0.004185300028929381
1684,zd midnight cat collar,22665.0,0.004166915227572344
120,cytopoint 30 mg iny 20-30 k,22570.0,0.004149449666283159
918,ronaxan 100 mg  x 10 comp.,22544.0,0.00414466961793033
510,zeedog nara leash large,22540.0,0.004143934225876048
1298,ocubiotic,22440.0,0.004125549424519012
761,cuerda anudada tricolor s,22440.0,0.004125549424519012
932,zeedog ella leash small,21996.0,0.004043920906493769
139,pink led adjustable air mesh harness medium,21927.0,0.004031235393557414
906,afp mighty rex rinoceronte,21390.0,0.0039325090102701275
1220,zeedog ella collar cat,21366.0,0.003928096657944439
