item_id,description,profit_margin_2023,profit_percent_total
223,furminator short hair deshedding tools for dog,77400.0,0.014229836250346324
469,jaula bella peq. animalles,64686.0,0.011892392605812692
1061,simparica 40 mg  x 1 tab. 10,51200.0,0.009413018294802736
697,pidle place mazuri (baño perrito),38317.0,0.007044504335975712
553,zeus trailla dobl asa  xl  rojo 1,37770.0,0.0069439394725527214
1307,lw tunel peq. animales,34040.0,0.0062581863819352575
1763,habitrail twist kit,32721.0,0.006015690852035945
303,zd skull 2.0 leash large,31206.0,0.00573716111147684
121,zd bordeau ruff leash large,28192.0,0.0051830431985757566
1681,zd army green adjustable air mesh harness medium,28136.0,0.0051727477098158165
773,nm jfc stain & odor eliminator - trigger spray,27320.0,0.005022727730742397
1692,coastal style trailla brown paw m 1,25180.0,0.004629292981701815
838,lw. bola de ejercicio con base,23970.0,0.004406836885281672
755,jaula refugio hamster m,23804.0,0.004376318115028991
735,nm jfc pet block / repelente,22480.0,0.004132903345061827
998,"zeus trailla dobl asa ""xl"" grafito 1",21620.0,0.003974794053391312
1661,marina termocalefactor pre-set 100w -22c,21042.0,0.0038685299015476403
1474,pawise cama verde perros,20732.0,0.0038115370173408265
1436,habitrail ovo home azul,19770.0,0.003634675228286135
576,zeedog zee.pad grey 30 unid.,19380.0,0.0035629745029936923
1437,zd violet air-leash,19120.0,0.0035151740194653974
384,pack cuy  animal care,18385.0,0.003380045729491178
1432,body perro 0 verde,17988.0,0.0033070580681037426
1049,habitrail ovo suite,17332.0,0.0031864537712015827
894,afp classic felicy ardilla,17300.0,0.003180570634767331
745,zd army green handsfree leash,16683.0,0.003067136410394415
981,columbia leash small,16494.0,0.003032389135829616
853,zd hawkins stranger  adj. air mesh harness medium,16366.0,0.003008856590092609
1170,zd skull 2.0 harness + leash set,15740.0,0.00289376773359756
599,tetra aquasafe,15720.0,0.002890090773326153
284,zd volt adj. air mesh harness large,15480.0,0.002845967250069265
1346,catit filtro fuente acero inox 2 unid,15281.0,0.002809381495368762
796,zeedog salina h-harness large,15200.0,0.0027944898062695627
1471,fp atlas 10 / transportadora 48x32,14990.0,0.0027558817234197854
1244,do cinturon seguridad auto 25mmx55-87cm,14912.0,0.002741541578361297
720,zeedog mahalo collar medium,14632.0,0.0026900641345615943
812,lw small animal corta uña,14630.0,0.002689696438534454
501,repelente interiores perros-300ml,14562.0,0.002677194773611669
529,zd midnight adjustable air mesh harness medium,14532.0,0.0026716793332045583
372,padlock (my family),14148.0,0.0026010816959935374
609,nm urinen destroyer perro - quart,13990.0,0.0025720337098494197
1120,zeedog atlanta adjustable air mesh harness medium,13730.0,0.0025242332263211245
1540,catit rasguðador  banca ,13672.0,0.0025135700415340433
